time,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau1,tau2,tau3,tau4,tau5,tau6
4.18,0.011857286608039584,1.5216634354162224,-0.9935913279829438,-0.5377892730886106,0.0016116988890878476,4.20464829883636e-05,-0.1537845552647403,0.14014955617866293,0.15795681241711734,0.04053828390714611,-0.014553561467710962,-0.00016033430103376805,-1.6017300535209522,-0.7585530664473887,-0.17264876486182598,-0.03455895436434053,-0.03472594955136987,0.018334133091501004,-0.9120952266910453,-3.741560378342543,-3.8800276473490722,-0.8609754602317092,-0.08648578064980791,-0.001472988094680479
4.19,0.010215338163592162,1.5229920982575609,-0.9920370269727251,-0.5373918108204686,0.00145648174561745,4.032541132624105e-05,-0.16419484444474222,0.13286628413384535,0.15543010102187416,0.03974622681419549,-0.015521714347039748,-0.0001721071662122552,-1.4738092291580032,-0.8263002773858623,-0.27808175259993234,-0.05525937311876383,-0.026228802917288796,0.019354211798120913,-0.9534158935131234,-3.818548860113554,-3.9085044257045856,-0.8703105042558726,-0.09027329767900186,-0.0015204975958345599
4.2,0.0084790123938624,1.5242416157326522,-0.9905157798934332,-0.5370042542675532,0.0012925143351891753,3.8497834530102664e-05,-0.17363257697297604,0.12495174750912778,0.15212470792918564,0.03875565529154114,-0.016396741042827477,-0.00018275767961383876,-1.3358063354757295,-0.8908952371086344,-0.3824724044074223,-0.07588769996939915,-0.01832274208177065,0.02006699517403221,-0.9888338746297832,-3.8968147570303904,-3.940483653083759,-0.8804820982526607,-0.09350104456146607,-0.001561392048879639
4.21,0.006658701273188439,1.5254059875443822,-0.9890352427534786,-0.5366285511360058,0.0011207845295640347,3.657547173718092e-05,-0.18203111206739608,0.11643718117300693,0.14805371399545547,0.0375703131547348,-0.017172980562514057,-0.00019223627929217417,-1.1885329172370422,-0.9520206137840322,-0.4852899826250154,-0.09633203752612474,-0.011029463288294572,0.02046337444405255,-1.0180873026408361,-3.9760261731223334,-3.975827218728517,-0.8914470107647928,-0.09614771213294412,-0.0015955129220296253
4.22,0.004765399880063359,1.5264795547797712,-0.9876029016564564,-0.5362666016674992,0.0009423310222577759,3.4570466193956366e-05,-0.18933013931250806,0.10735672353889655,0.14323410970223052,0.03619494685066661,-0.017845350730625875,-0.0002005005543224553,-1.0328812582729168,-1.0093796197813922,-0.5860101365739367,-0.1164786106338438,-0.004350795686374198,0.02054063283976848,-1.0409569414317086,-4.0558506954792035,-4.014380615170718,-0.9031582034121497,-0.09819577661817531,-0.0016227428791994454
4.23,0.0028106375045244434,1.527457026926409,-0.9862260344158993,-0.5359202488003583,0.0007582371598469561,3.2495314142473177e-05,-0.19547623755389157,0.09774721466378732,0.13768672405571036,0.03463528671409506,-0.01840938624108198,-0.0002075152051483192,-0.8698186457617605,-1.0626975586487746,-0.6841176225898616,-0.13621254462990606,0.001730226461080342,0.020302466852870515,-1.0572683321681295,-4.135956961205068,-4.055973511673166,-0.9155650052166244,-0.0996316276737199,-0.0016430045760467823
4.24,0.0008064036556582025,1.5283335067479507,-0.9849116730839248,-0.5355912685724441,0.00056962442924686,3.0362794522211418e-05,-0.2004233848866241,0.08764798215416589,0.13143613319744624,0.0328980227914162,-0.018861273060009617,-0.00021325196202617578,-0.7003806693664908,-1.1117231116680921,-0.7791089859962423,-0.1554186947765661,0.0072478871457817284,0.019758893184483872,-1.066893518739639,-4.216016098492619,-4.100420384635872,-0.9286132976257259,-0.10044566578689297,-0.001656259241798885
4.25,-0.0012349304723735717,1.5291045129211498,-0.9836665675925997,-0.5352813608191134,0.0003776456409933691,2.8185899840113225e-05,-0.2041334128031774,0.07710061731991869,0.12451054913250262,0.030990775333069334,-0.019197878825349093,-0.00021768946820981938,-0.525663634443986,-1.1562293566804334,-0.8704951892171554,-0.1739825178413632,0.012251963382230002,0.018926044333978598,-1.0697523327400023,-4.295703032533171,-4.147521206524054,-0.9422457105271784,-0.10063236859471013,-0.001662505103057739
4.26,-0.003300694455282854,1.529766000361432,-0.9824971507015677,-0.5349921402181796,0.0001834778517659736,2.5977768492602225e-05,-0.2065763982909282,0.06614874402821098,0.11694168910320432,0.02892206009337229,-0.019416778922739547,-0.00022081313475109983,-0.3468161839932,-1.1960145168263407,-0.9578041706896852,-0.1917909758042109,0.016805612592160513,0.017825857045854987,-1.0658132252507215,-4.374697650285479,-4.197062195231167,-0.9564018296958597,-0.10019032605194644,-0.0016617757050841056
4.2700000000000005,-0.005378004340285647,1.5303143781881883,-0.9814095044390292,-0.5347251277320525,-1.1684927784192306e-05,2.3751618754071136e-05,-0.2077309885002793,0.05483778267563237,0.10876462625385988,0.02670124861271707,-0.01951627795501659,-0.00022261497385310896,-0.16503023676822196,-1.2309024418205994,-1.0405833198395464,-0.20873346084970112,0.02098303690688752,0.016485659072486447,-1.0550936397226767,-4.452685821541116,-4.248816625950581,-0.9710184162175453,-0.09912224470985262,-0.001654138183687069
