time,action,Xpos,Xangle,Xvelocity,Xangular_velocity,Ypos,Yangle,Yvelocity,Yangular_velocity,noise1,noise2,noise3,noise4
1.56,0.0,-1.068303,2.789439,-1.067404,-3.360718,-1.089238,2.725819,-1.026123,-2.999073,0.435129,0.563696,-2.075057,-0.888326
1.58,0.0,-1.089238,2.725819,-1.026123,-2.999073,-1.109353,2.669541,-0.985615,-2.627527,1.029133,-0.949936,1.219265,-0.36223
1.6,2.395665,-1.109353,2.669541,-0.985615,-2.627527,-1.124932,2.628439,-0.574205,-1.493064,-0.518842,-0.664646,0.220297,0.991557
1.62,0.0,-1.124932,2.628439,-0.574205,-1.493064,-1.136107,2.601934,-0.543602,-1.158135,-1.543943,0.213829,0.631702,1.375064
1.64,0.0,-1.136107,2.601934,-0.543602,-1.158135,-1.146686,2.582079,-0.514565,-0.828398,-1.398156,-0.185848,1.057458,-0.41639
1.66,0.0,-1.146686,2.582079,-0.514565,-0.828398,-1.156699,2.56875,-0.486969,-0.505814,-0.782199,-0.69623,-2.855858,0.151212
1.68,0.0,-1.156699,2.56875,-0.486969,-0.505814,-1.166173,2.561788,-0.460634,-0.19208,-0.164742,0.472607,-0.915772,0.358546
1.7,0.0,-1.166173,2.561788,-0.460634,-0.19208,-1.175132,2.560998,-0.435368,0.111272,0.59511,-1.451873,0.331328,-1.345643
1.72,0.0,-1.175132,2.560998,-0.435368,0.111272,-1.183594,2.566159,-0.410995,0.402791,-0.036969,0.101415,-0.110915,0.00503
1.74,0.0,-1.183594,2.566159,-0.410995,0.402791,-1.191576,2.577021,-0.387379,0.681044,-0.392426,-0.955213,-0.73776,0.37009
1.76,0.0,-1.191576,2.577021,-0.387379,0.681044,-1.199094,2.593303,-0.364446,0.944563,-0.476611,-1.126086,-0.623062,-0.909858
1.78,0.0,-1.199094,2.593303,-0.364446,0.944563,-1.206159,2.614695,-0.342195,1.191811,-0.438526,1.181648,-0.012712,0.795939
1.8,0.0,-1.206159,2.614695,-0.342195,1.191811,-1.212786,2.640856,-0.32071,1.421161,0.485227,0.462399,0.476519,0.453733
1.82,0.0,-1.212786,2.640856,-0.32071,1.421161,-1.218993,2.671411,-0.300159,1.630887,2.502468,-1.916528,-0.592563,0.829766
1.84,0.0,-1.218993,2.671411,-0.300159,1.630887,-1.224801,2.705949,-0.280792,1.819183,-0.133866,0.085211,1.456204,-0.669286
1.86,0.0,-1.224801,2.705949,-0.280792,1.819183,-1.230235,2.744023,-0.26293,1.984199,-0.680461,1.276011,-0.995115,-2.653141
1.88,0.0,-1.230235,2.744023,-0.26293,1.984199,-1.23533,2.785149,-0.246941,2.124117,1.08688,0.225466,1.36834,-0.303757
1.9,0.0,-1.23533,2.785149,-0.246941,2.124117,-1.240128,2.828809,-0.233219,2.237242,1.088813,0.618892,0.645659,0.81743
1.92,-0.354079,-1.240128,2.828809,-0.233219,2.237242,-1.245254,2.873167,-0.279892,2.194184,0.762375,-0.648367,0.996626,-1.456275
1.94,0.0,-1.245254,2.873167,-0.279892,2.194184,-1.250762,2.917712,-0.27141,2.255654,-0.576745,-0.873832,0.222825,1.946483
1.96,0.0,-1.250762,2.917712,-0.27141,2.255654,-1.256131,2.963203,-0.265929,2.288656,1.493864,-1.510122,-1.134618,-0.670479
1.98,0.0,-1.256131,2.963203,-0.265929,2.288656,-1.26142,3.009068,-0.263596,2.293109,-1.032719,0.15807,1.025043,0.823341
2.0,0.0,-1.26142,3.009068,-0.263596,2.293109,-1.266696,3.05474,-0.264443,2.269517,1.214447,-1.33367,0.368063,0.659693
2.02,0.0,-1.266696,3.05474,-0.264443,2.269517,-1.272019,3.099669,-0.268386,2.21898,2.0825,0.334366,1.186582,-0.162079
2.04,0.0,-1.272019,3.099669,-0.268386,2.21898,-1.27745,3.14333,-0.275232,2.143154,-1.261954,1.607793,-0.445161,0.1961
2.06,0.0,-1.27745,3.14333,-0.275232,2.143154,-1.283046,3.18524,-0.284694,2.044167,-0.857907,-0.152351,1.321518,-2.15528
2.08,0.0,-1.283046,3.18524,-0.284694,2.044167,-1.288853,3.224959,-0.296421,1.924511,0.949562,0.182149,0.725723,0.718404
2.1,0.0,-1.288853,3.224959,-0.296421,1.924511,-1.294915,3.262101,-0.310022,1.786911,-0.347224,-0.017086,0.658758,-1.921031
