time,brake_pedal,gas_pedal,speed,acc,final_brake_tw_rr,final_brake_tw_rl,final_brake_tw_fr,final_brake_tw_fl,motor_torque,f_rot_speed,r_rot_speed,ABS_FRONT_ON_OFF,ABS_REAR_ON_OFF
27,0.00520323889873127,0.0232850640485925,21.812154102583,-0.643242251689218,-0,-0,-0,0,7.72067793274721,191.464915016226,192.60227738802,0,0
27.05,0,0.024490420336664,22.0494049138263,-0.370108446614212,-0,-0,-0,0,6.97360797313308,191.322520759746,193.205927253819,0,0
27.1,0,0.0161846007889755,21.9924129638833,-0.647067524847546,-0,-0,-0,0,6.22443961401144,192.25139836097,191.558317692389,0,0
27.15,0.00323268486533355,0.0105732791249347,22.053236978806,-0.200534580666251,0,0,0,0,5.47680281124448,191.880174320112,192.39246489122,0,0
27.2,0,0.0380673943844572,21.9442847623349,-0.18880242105406,0,0,0,0,4.73083546487437,191.546823170768,191.897857497189,0,0
27.25,0,0.0159035071606964,22.1418358189492,-0.253987941033255,0,0,0,0,3.98666700719988,191.123290083051,191.131409069703,0,0
27.3,0,0.00784040980817337,22.2187461086764,-0.144510542414685,0,0,0,0,3.24441915083509,191.12006524589,191.351810766921,0,0
27.35,0,0.0175583876255433,21.5447082183564,-0.326448580933781,0,0,0,0,2.497776141208,191.316245500401,191.347159684877,0,0
27.4,0,0.013592860952402,22.0232711051699,-0.450144565789678,0,0,0,0,1.74450458449398,191.014377986472,191.402698241421,0,0
27.45,0,5.22928533538214e-05,21.8861705630243,-0.471666888546502,0,0,0,0,0.990164760731485,190.735022940943,190.257724319354,0,0
27.5,0.00738951591455953,0.0132771210741129,22.0284556931342,-0.454351832281879,0,0,0,0,0.197041206230011,190.715941875203,191.02563247822,0,0
27.55,0,0.00809210827350675,21.8601308132029,-0.388967250770229,-1.58111707409592,-1.58111707409592,-3.68927301629803,-3.68927301629803,0.0209735760782842,191.356437383483,190.706107301868,0,0
27.6,0.00940278374520192,0.00522760109857566,21.6075656709838,-0.983684544506406,-4.00842739897611,-4.00842739897611,-9.35299640637713,-9.35299640637713,0.000592302701585577,190.437552584487,190.332024144662,0,0
27.65,0.0121063412687511,0,21.7793637644359,-0.477794702830215,-6.3126624330951,-6.3126624330951,-14.7295435779063,-14.7295435779063,1.16175465304887e-05,189.84078289721,190.674876927111,0,0
27.7,0,0,22.0891927474133,-0.51769827321513,-8.56076663186276,-8.56076663186276,-19.9751183171051,-19.9751183171051,2.17594503445182e-07,190.524767968954,189.611763880958,0,0
27.75,0.0248043611061233,0.0137940163617758,21.9109510193815,-0.288053501845018,-10.7239312453935,-10.7239312453935,-25.0225002773989,-25.0225002773989,4.42547800755448e-09,189.696930431023,189.799071390375,0,0
27.8,0.00221305439093487,0,21.7170117964171,-0.430508760226575,-12.7994016596494,-12.7994016596494,-29.8652620820285,-29.8652620820285,1.01347401761572e-10,189.383235214506,189.80245935119,0,0
27.85,0.0120364389574537,0.00484646363757982,21.367716418391,-0.953594276134567,-14.7850572779393,-14.7850572779393,-34.4984557266509,-34.4984557266509,2.66535247295319e-12,187.628588315328,190.01343490491,0,0
27.9,0.00844299677347305,0,21.6224672558285,-0.776071788060621,-16.6793860401881,-16.6793860401881,-38.9185531240352,-38.9185531240352,8.15966322386671e-14,188.276718937212,188.57438886453,0,0
27.95,0.0303290373093862,0,21.6541864900564,-0.378147830375678,-18.4999041011198,-18.4999041011198,-43.1664253139886,-43.1664253139886,2.83806507957588e-15,188.801821093334,188.299532235854,0,0
28,0.0115218268278977,0,21.7732954652672,-0.411208616995855,-20.2530035411495,-20.2530035411495,-47.2569871784729,-47.2569871784729,0,187.547569203909,188.255023718127,0,0
28.05,0.00669521219045712,0.00118966760932028,21.3494636012826,-0.859544273576422,-21.915734749201,-21.915734749201,-51.1366897072615,-51.1366897072615,0,187.734499878406,188.70245063121,0,0
28.1,0.0132384440004295,0.00931144091180723,21.4485343706949,-1.12487182631102,-23.4880486963208,-23.4880486963208,-54.8054185425734,-54.8054185425734,0,186.404142666599,187.569039615144,0,0
28.15,0.0228813458093235,0.00420370474914297,21.4455973156039,-0.777657177006556,-24.9702996203335,-24.9702996203335,-58.2640002773269,-58.2640002773269,0,186.534083442528,187.291843055613,0,0
28.2,0.0360318173219459,0.00635558795407485,21.5018077579615,-1.08086067965839,-26.3631974349744,-26.3631974349744,-61.5140914124526,-61.5140914124526,0,186.242988571087,187.262249950049,0,0
28.25,0.0238957493799555,0,21.4023677898739,-1.17512132062093,-27.681979523273,-27.681979523273,-64.5912458293149,-64.5912458293149,0,185.895006116528,185.828702292623,0,0
28.3,0.0301985009988804,0.00250400934410907,21.2234690743595,-0.925620689892396,-28.9336808964144,-28.9336808964144,-67.5118785663814,-67.5118785663814,0,184.991495631199,186.350397604935,0,0
28.35,0.0272237698332116,0,21.4187507024133,-1.68238312529668,-30.1017755036862,-30.1017755036862,-70.2374289133425,-70.2374289133425,0,183.740767932902,184.922079180632,0,0
28.4,0.0483804853133522,0.00749843092327159,21.1827199913819,-0.888471073493079,-31.187683784116,-31.187683784116,-72.7712112537685,-72.7712112537685,0,183.795654588695,185.395860322733,0,0
28.45,0.0320361726854776,0.0156039113330096,21.3138080088995,-0.788521469419393,-32.1930452263728,-32.1930452263728,-75.1170510819512,-75.1170510819512,0,183.720270981997,184.508982866825,0,0
28.5,0.0268579986492256,0,21.0829063076007,-1.00367292359253,-33.1196858118993,-33.1196858118993,-77.2792090401447,-77.2792090401447,0,181.805124288165,183.494205914832,0,0
28.55,0.0310098495565843,0,21.1522777141701,-1.33133433516488,-33.9796516840039,-33.9796516840039,-79.285792772219,-79.285792772219,0,182.052164328978,183.949794675489,0,0
28.6,0.0405440543951929,0,21.01634702696,-1.23900731294773,-34.7794548098041,-34.7794548098041,-81.151996868553,-81.151996868553,0,181.12403429757,183.671847040388,0,0
28.65,0.0479051658601663,0.000388465669658434,21.1358408446632,-1.05148070262766,-35.508220134249,-35.508220134249,-82.8524462575804,-82.8524462575804,0,182.014524618156,182.696742818626,0,0
28.7,0.0386851435890743,0,20.9449200273683,-1.18365794853996,-36.168028790658,-36.168028790658,-84.391996928563,-84.391996928563,0,180.840492899063,182.380148579708,0,0
28.75,0.0351843471347065,0,20.5754847233493,-0.7477201148068,-36.7610606105288,-36.7610606105288,-85.7757351623116,-85.7757351623116,0,180.063035299153,181.469417175392,0,0
28.8,0.0243183610227143,0,20.7401798944525,-1.15513697170392,-37.2895727618217,-37.2895727618217,-87.0089276902743,-87.0089276902743,0,180.029213478746,181.10595315986,0,0
28.85,0.0192967985144604,0.00282177248069239,20.6102772706081,-1.05383340178314,-37.7619040252244,-37.7619040252244,-88.111031644133,-88.111031644133,0,178.269529924146,181.287207106216,0,0
28.9,0.0424544209186784,0.0140475525667983,20.7679400857727,-1.10651419875781,-38.183250390617,-38.183250390617,-89.0941709942289,-89.0941709942289,0,178.482736838188,179.772770962492,0,0
28.95,0.0313018359987349,0.00388088786631236,20.5088190929334,-0.825226627365278,-38.5479658388251,-38.5479658388251,-89.9451717295019,-89.9451717295019,0,178.969783412587,179.626869786487,0,0
29,0.0500767815824545,0,20.4106437906379,-1.30174334286185,-38.8583127143725,-38.8583127143725,-90.6693126552576,-90.6693126552576,0,178.138645095384,179.131585157996,0,0
29.05,0.0512355299514824,0,20.5498764420022,-0.805113206969973,-39.1165752040979,-39.1165752040979,-91.2719235393633,-91.2719235393633,0,177.34678216957,179.240614057097,0,0
29.1,0.0284385944048765,0,20.3479551198002,-1.34128769475161,-39.3250463714193,-39.3250463714193,-91.7583548611495,-91.7583548611495,0,177.493841897525,177.506414886456,0,0
29.15,0.0321389008733645,0,20.349582995066,-1.39322835739001,-39.4881126706944,-39.4881126706944,-92.1388416673826,-92.1388416673826,0,176.468633467316,176.658935393338,0,0
29.2,0.0372972538179027,0,20.0077501807553,-1.12611832416051,-39.6091151257376,-39.6091151257376,-92.4211796731254,-92.4211796731254,0,175.937700318599,178.196135971662,0,0
29.25,0.0342001431604786,0.013379801678456,20.1682484407441,-1.24172809281689,-39.6874516400708,-39.6874516400708,-92.6039639945621,-92.6039639945621,0,175.020739970858,175.790678808604,0,0
29.3,0.0395673671915589,0.00991607892614518,19.8928339883626,-0.887004909490701,-39.725307643841,-39.725307643841,-92.6922939639352,-92.6922939639352,0,175.188767734764,176.138852555064,0,0
29.35,0.0377618418721089,0.00907020591172193,20.3635821237712,-1.2513471765482,-39.7248420723033,-39.7248420723033,-92.6912070908213,-92.6912070908213,0,174.139629285471,175.343613138382,0,0
29.4,0.0191552600927798,0,19.9784085882641,-1.59112876669606,-39.6881808014735,-39.6881808014735,-92.6056637462847,-92.6056637462847,0,173.684950429639,175.844103750405,0,0
29.45,0.0260325259728369,0,19.9825026458556,-1.10960945793992,-39.6156917684623,-39.6156917684623,-92.4365224526549,-92.4365224526549,0,172.791079109279,174.029936816885,0,0
29.5,0.03533872578469,0,19.8524493754257,-1.12291260029589,-39.5084884025484,-39.5084884025484,-92.1863812075656,-92.1863812075656,0,172.272584749591,173.006509882643,0,0
29.55,0.0526926642583839,0,19.7565640122397,-0.909754227034611,-39.370981245118,-39.370981245118,-91.8655312559169,-91.8655312559169,0,171.690601910453,172.992089702568,0,0
29.6,0.046735428228099,0.000950150194764064,19.7012940880717,-1.10394209841818,-39.2051634917894,-39.2051634917894,-91.4786233794948,-91.4786233794948,0,171.792245490801,173.371117211902,0,0
29.65,0.0330435677893811,0.00288596892608155,19.8146586048941,-1.29944752702937,-39.012971325014,-39.012971325014,-91.030175329799,-91.030175329799,0,171.110812237722,172.46492750643,0,0
29.7,0.0398404916990028,0.000137268086892707,19.7703791188895,-0.874259945347317,-38.7962823595383,-38.7962823595383,-90.5245682000629,-90.5245682000629,0,170.292608592196,172.814206441008,0,0
29.75,0.0385832970527648,0,19.793971481949,-0.802306774781549,-38.5514922963167,-38.5514922963167,-89.9533919802121,-89.9533919802121,0,169.449661158651,171.518607882215,0,0
29.8,0.0337267919802048,0,19.4857854009757,-1.37645455799655,-38.2772181016567,-38.2772181016567,-89.3134195936654,-89.3134195936654,0,169.43919729128,171.42037044232,0,0
29.85,0.0326900199856712,0.00177086959024109,19.6163473515786,-1.33255362125947,-37.9829466246754,-37.9829466246754,-88.6267869777983,-88.6267869777983,0,169.63258033819,170.855729975252,0,0
29.9,0.0394655817603216,0.0196263730952155,19.3984989469835,-0.971048547407856,-37.6704507733504,-37.6704507733504,-87.8976309085795,-87.8976309085795,0,168.432077010406,169.619258753357,0,0
29.95,0.0303855333861717,0.00851911777031709,19.3162894355832,-1.16410740330547,-37.3414263345687,-37.3414263345687,-87.1299082149107,-87.1299082149107,0,168.343603044777,169.63021259387,0,0
30,0.0383031931254257,0,19.4478982533449,-1.29888089683445,-36.9974944787679,-36.9974944787679,-86.3274016201626,-86.3274016201626,0,168.1538589312,168.897907260732,0,0
30.05,0.0493911092944636,0.0078075623322525,19.3825391480976,-1.51849591425344,-36.6312427581542,-36.6312427581542,-85.4728154524421,-85.4728154524421,0,167.767043273188,168.862400348367,0,0
